"","Year","Vessel.Type"
"841",1991,"MERCHANT"
"842",1989,"Other"
"843",1988,"TANKER"
"844",1988,"Other"
"845",1988,"MERCHANT"
"846",1986,"Other"
"847",1985,"Other"
"848",2012,"TANKER"
"849",2009,"YACHT"
"850",2009,"YACHT"
"851",2009,"YACHT"
"852",2009,"Other"
"853",2008,"YACHT"
"854",2008,"YACHT"
"855",2008,"YACHT"
"856",2008,"Other"
"857",2008,"YACHT"
"858",2008,"YACHT"
"859",2008,"YACHT"
"860",2008,"YACHT"
"861",2008,"YACHT"
"862",2008,"YACHT"
"863",2008,"YACHT"
"864",2008,"YACHT"
"865",2006,"YACHT"
"866",2005,"MERCHANT"
"867",2004,"MERCHANT"
"868",2004,"MERCHANT"
"869",2003,"YACHT"
"870",2003,"Other"
"871",2003,"MERCHANT"
"872",2003,"MERCHANT"
"873",2003,"MERCHANT"
"874",2003,"MERCHANT"
"875",2003,"Other"
"876",2003,"MERCHANT"
"877",2003,"MERCHANT"
"878",2003,"MERCHANT"
"879",2003,"MERCHANT"
"880",2003,"MERCHANT"
"881",2002,"MERCHANT"
"882",2002,"MERCHANT"
"883",2002,"MERCHANT"
"884",2002,"MERCHANT"
"885",2002,"MERCHANT"
"886",2002,"MERCHANT"
"887",2001,"MERCHANT"
"888",2001,"MERCHANT"
"889",2000,"Other"
"890",2000,"MERCHANT"
"891",1998,"Other"
"892",1998,"Other"
"893",1997,"MERCHANT"
"894",1995,"Other"
"895",1991,"MERCHANT"
"896",1990,"SS/USS"
"897",2012,"CARGO"
"898",2012,"TANKER"
"899",2011,"CONTAINER SHIP"
"900",2010,"CONTAINER SHIP"
"901",2010,"Other"
"902",2010,"CARGO"
"903",2010,"CONTAINER SHIP"
"904",2010,"Other"
"905",2009,"MERCHANT"
"906",2009,"CARGO"
"907",2009,"TANKER"
"908",2009,"TANKER"
"909",2009,"MOTOR"
"910",2009,"Other"
"911",2008,"CARGO"
"912",2008,"YACHT"
"913",2008,"Other"
"914",2007,"CARGO"
"915",2007,"MERCHANT"
"916",2007,"MERCHANT"
"917",2006,"FISHING"
"918",2006,"MERCHANT"
"919",2006,"MERCHANT"
"920",2006,"MERCHANT"
"921",2005,"YACHT"
"922",2005,"MERCHANT"
"923",2005,"MERCHANT"
"924",2005,"MERCHANT"
"925",2005,"MERCHANT"
"926",2005,"MERCHANT"
"927",2005,"MERCHANT"
"928",2005,"MERCHANT"
"929",2005,"MERCHANT"
"930",2005,"MERCHANT"
"931",2005,"MERCHANT"
"932",2004,"MERCHANT"
"933",2004,"MERCHANT"
"934",2004,"MERCHANT"
"935",2004,"MERCHANT"
"936",2004,"MERCHANT"
"937",2004,"MERCHANT"
"938",2004,"MERCHANT"
"939",2004,"MERCHANT"
"940",2004,"MERCHANT"
"941",2004,"MERCHANT"
"942",2004,"MERCHANT"
"943",2003,"MERCHANT"
"944",2003,"MERCHANT"
"945",2003,"MERCHANT"
"946",2003,"MERCHANT"
"947",2003,"MERCHANT"
"948",2003,"MERCHANT"
"949",2003,"MERCHANT"
"950",2002,"MERCHANT"
"951",2002,"MERCHANT"
"952",2001,"Other"
"953",2000,"Other"
"954",1999,"Other"
"955",1999,"Other"
"956",1998,"Other"
"957",1993,"MERCHANT"
"958",1990,"Other"
"959",1989,"CONTAINER SHIP"
"960",2003,"YACHT"
"961",2003,"MERCHANT"
"962",2002,"MERCHANT"
